City,Location,Coordinates,2,3
"ALGONA, IA","Algona, IA 50511, USA","(43.0699663, -94.233019)",,
"COLLEGE STATION, TX","College Station, TX, USA","(30.627977, -96.3344068)",,
"HARTWELL, GA","Hartwell, GA 30643, USA","(34.3528825, -82.932087)",,
"CHAMPLAIN, NY","Champlain, NY 12919, USA","(44.9864273, -73.4465251)",,
"SOUTHFIELD, MI","Southfield, MI, USA","(42.4733688, -83.2218731)",,
"COOKEVILLE, TN","Cookeville, TN, USA","(36.162839, -85.5016423)",,
"MT JULIET, TN","Mt. Juliet, TN, USA","(36.200055, -86.5186054)",,
"PORTLAND, TN","Portland, TN 37148, USA","(36.5817089, -86.5163833)",,
"AVON, MA","Avon, MA, USA","(42.13065539999999, -71.0411582)",,
"BLAKELY, GA","Blakely, GA 39823, USA","(31.3776754, -84.93409199999999)",,
"TERRELL, TX","Terrell, TX, USA","(32.7359626, -96.2752569)",,
"CONSHOHOCKEN, PA","Conshohocken, PA 19428, USA","(40.0792766, -75.3015714)",,
"AIKEN, SC","Aiken, SC, USA","(33.5604168, -81.7195533)",,
"WARNER ROBINS, GA","Warner Robins, GA, USA","(32.6130007, -83.624201)",,
"ORANGEBURG, SC","Orangeburg, SC, USA","(33.4918203, -80.8556476)",,
"VERO BEACH, FL","Vero Beach, FL, USA","(27.6386434, -80.39727359999999)",,
"RAMSEY, MN","Ramsey, MN 55303, USA","(45.2611, -93.45)",,
"ORANGE CITY, FL","Orange City, FL, USA","(28.9488761, -81.2986741)",,
"ADVANCE, NC","Advance, NC 27006, USA","(35.9412419, -80.4096909)",,
"MILTON, NY","Milton, NY 12547, USA","(41.6598157, -73.95708259999999)",,
"SALISBURY, NC","Salisbury, NC, USA","(35.6709727, -80.4742261)",,
"WAVERLY, NY","Waverly, NY 14892, USA","(42.0103519, -76.5271659)",,
"WOODBRIDGE, VA","Woodbridge, VA 22191, USA","(38.6581722, -77.2497049)",,
"DADE CITY, FL","Dade City, FL, USA","(28.3647248, -82.1959178)",,
"FARMINGDALE, NY","Farmingdale, NY 11735, USA","(40.7325997, -73.4454009)",,
"ELMIRA, NY","Elmira, NY, USA","(42.0897965, -76.8077338)",,
"EAST STROUDSBURG, PA","East Stroudsburg, PA 18301, USA","(41.0030522, -75.1817547)",,
"BUSHNELL, IL","Bushnell, IL 61422, USA","(40.5528183, -90.50624)",,
"PLAINFIELD, IN","Plainfield, IN, USA","(39.70421229999999, -86.39943869999999)",,
"DENTON, TX","Denton, TX, USA","(33.2148412, -97.13306829999999)",,
"NORTH CHARLESTON, SC","North Charleston, SC, USA","(32.8771106, -80.0130514)",,
"HOMER, LA","Homer, LA 71040, USA","(32.7918133, -93.055718)",,
"CORONA, CA","Corona, CA, USA","(33.8752935, -117.5664384)",,
"SUGAR CREEK, MO","Sugar Creek, MO, USA","(39.1097268, -94.4446742)",,
"ALACHUA, FL","Alachua, FL, USA","(29.7938144, -82.49442260000001)",,
"CLEARFIELD, UT","Clearfield, UT, USA","(41.1107771, -112.0260538)",,
"RICHMOND, BC","Richmond, BC, Canada","(49.1665898, -123.133569)",,
"BONDSVILLE, MA","Bondsville, MA, USA","(42.2125929, -72.34536)",,
"ROSEAU, MN","Roseau, MN 56751, USA","(48.8460926, -95.762766)",,
"PISCATAWAY, NJ","Piscataway, NJ 08854, USA","(40.554887, -74.4642861)",,
"HAMEL, MN","Hamel, Medina, MN, USA","(45.0408365, -93.5253597)",,
"GREENVILLE, WI","Greenville, WI 54942, USA","(44.3002628, -88.53649539999999)",,
"ORTING, WA","Orting, WA 98360, USA","(47.0978795, -122.2042824)",,
"LACEY, WA","Lacey, WA, USA","(47.0358969, -122.8232553)",,
"SALEM, OR","Salem, OR, USA","(44.9428975, -123.0350963)",,
"CANBY, OR","Canby, OR 97013, USA","(45.262316, -122.6921253)",,
"NEW OXFORD, PA","New Oxford, PA 17350, USA","(39.8637086, -77.0558143)",,
"WAXAHACHIE, TX","Waxahachie, TX, USA","(32.3865312, -96.8483311)",,
"TALLAHASSEE, FL","Tallahassee, FL, USA","(30.4382559, -84.28073289999999)",,
"HAMILTON, ON","Hamilton, ON, Canada","(43.2557206, -79.8711024)",,
"COLLEGE PARK, GA","College Park, GA, USA","(33.6534427, -84.4493725)",,
"INTERNATIONAL FALLS, MN","International Falls, MN 56649, USA","(48.6023149, -93.4040679)",,
"QUEENSBURY, NY","Queensbury, NY, USA","(43.353627, -73.6771662)",,
"POINTE-AUX-TREMBLES, QC","Pointe-aux-Trembles, Montreal, QC H1B, Canada","(45.6416665, -73.5004013)",,
"DONALSONVILLE, GA","Donalsonville, GA 39845, USA","(31.0404625, -84.87909110000001)",,
"LACHINE, QC","Lachine, Montreal, QC, Canada","(45.441347, -73.68858469999999)",,
"DOUGLAS, GA","Douglas, GA, USA","(31.5088073, -82.8498654)",,
"EAU CLAIRE, WI","Eau Claire, WI, USA","(44.811349, -91.4984941)",,
"ITHACA, NY","Ithaca, NY, USA","(42.4439614, -76.5018807)",,
"ROME, NY","Rome, NY, USA","(43.2128473, -75.4557303)",,
"SCOTTSVILLE, KY","Scottsville, KY 42164, USA","(36.7533781, -86.1905424)",,
"WINGDALE, NY","Wingdale, NY 12594, USA","(41.6465446, -73.5667744)",,
"TUPELO, MS","Tupelo, MS, USA","(34.2576066, -88.7033859)",,
"SAINT CHARLES, IL","St. Charles, IL, USA","(41.9141945, -88.3086867)",,
"SHELBYVILLE, IN","Shelbyville, IN 46176, USA","(39.5214373, -85.7769238)",,
"MONTGOMERY, NY","Montgomery, NY 12549, USA","(41.5275938, -74.23681599999999)",,
"AUBURN, NY","Auburn, NY 13021, USA","(42.9317335, -76.5660529)",,
"KISSIMMEE, FL","Kissimmee, FL, USA","(28.2919557, -81.40757099999999)",,
"CHARLOTTESVILLE, VA","Charlottesville, VA, USA","(38.0293059, -78.47667810000002)",,
"EPHRATA, PA","Ephrata, PA 17522, USA","(40.1798165, -76.17883909999999)",,
"MINERSVILLE, PA","Minersville, PA, USA","(40.6906451, -76.2621697)",,
"FORT PIERCE, FL","Fort Pierce, FL, USA","(27.4467056, -80.3256056)",,
"MARTIN, TN","Martin, TN, USA","(36.3433965, -88.8503379)",,
"BALDWINSVILLE, NY","Baldwinsville, NY 13027, USA","(43.15867859999999, -76.33270949999999)",,
"MAYWOOD, IL","Maywood, IL 60153, USA","(41.8791979, -87.8431155)",,
"SYCAMORE, IL","Sycamore, IL, USA","(41.9889173, -88.6867538)",,
"OAKVILLE, ON","Oakville, ON, Canada","(43.467517, -79.6876659)",,
"IRVING, TX","Irving, TX, USA","(32.8140177, -96.9488945)",,
"GREEN BAY, WI","Green Bay, WI, USA","(44.5133188, -88.0132958)",,
"STREETSBORO, OH","Streetsboro, OH, USA","(41.2392227, -81.3459405)",,
"SCARBOROUGH, ON","Scarborough, Toronto, ON, Canada","(43.7764258, -79.2317521)",,
"FORT WAYNE, IN","Fort Wayne, IN, USA","(41.079273, -85.1393513)",,
"SPOKANE VALLEY, WA","Spokane Valley, WA, USA","(47.6732281, -117.2393748)",,
"COTTAGE GROVE, MN","Cottage Grove, MN, USA","(44.8277446, -92.9438218)",,
"POWNAL, VT","Pownal, VT, USA","(42.792313, -73.22694609999999)",,
"WILLMAR, MN","Willmar, MN, USA","(45.1223711, -95.048659)",,
"HAMILTON, OH","Hamilton, OH, USA","(39.3995008, -84.5613355)",,
"NEW BOSTON, MI","New Boston, Huron Charter Twp, MI 48164, USA","(42.1626843, -83.4027844)",,
"BIG FLATS, NY","Big Flats, NY, USA","(42.1372967, -76.9369067)",,
"ALPENA, MI","Alpena, MI 49707, USA","(45.0616794, -83.4327528)",,
"FREDERICKSBURG, PA","Fredericksburg, PA 17026, USA","(40.4437018, -76.42829329999999)",,
"STANHOPE, NJ","Stanhope, NJ 07874, USA","(40.9028765, -74.7090517)",,
"SHARON SPRINGS, NY","Sharon Springs, NY 13459, USA","(42.7959074, -74.617086)",,
"LEWIS, NY","Lewis, NY 12950, USA","(44.27502700000001, -73.5655742)",,
"JOHNSTOWN, NY","Johnstown, NY 12095, USA","(43.0067399, -74.3676356)",,
"NORTH VERNON, IN","North Vernon, IN 47265, USA","(39.006165, -85.6235796)",,
"FLOWER MOUND, TX","Flower Mound, TX, USA","(33.0145673, -97.0969552)",,
"MONROE, NJ","Monroe Township, NJ 08831, USA","(40.336419, -74.43304739999999)",,
"ADAIRSVILLE, GA","Adairsville, GA 30103, USA","(34.3687021, -84.9341093)",,
"BURGAW, NC","Burgaw, NC 28425, USA","(34.5521113, -77.92609800000001)",,
"MONROE, LA","Monroe, LA, USA","(32.5093109, -92.1193012)",,
"CHICOPEE, MA","Chicopee, MA, USA","(42.1487043, -72.6078672)",,
"BASTROP, LA","Bastrop, LA 71220, USA","(32.7562463, -91.8723497)",,
"NORTH MANCHESTER, IN","North Manchester, IN 46962, USA","(41.0006005, -85.768597)",,
"SUSSEX, WI","Sussex, WI, USA","(43.1338972, -88.2220372)",,
"FOND DU LAC, WI","Fond du Lac, WI, USA","(43.7730448, -88.4470508)",,
"LEXINGTON, SC","Lexington, SC, USA","(33.9815369, -81.2362107)",,
"CHESHIRE, MA","Cheshire, MA, USA","(42.5620278, -73.162881)",,
"ELLSWORTH, WI","Ellsworth, WI 54011, USA","(44.7321897, -92.4874124)",,
"SAGINAW, MI","Saginaw, MI, USA","(43.4194699, -83.9508068)",,
"CENTER CONWAY, NH","Center Conway, Conway, NH 03813, USA","(43.9949673, -71.0623785)",,
"ELDORA, IA","Eldora, IA 50627, USA","(42.3680382, -93.10575759999999)",,
"NEW ULM, MN","New Ulm, MN 56073, USA","(44.3144394, -94.45930179999999)",,
"PAXINOS, PA","Paxinos, PA, USA","(40.8508803, -76.5806193)",,
"WYOMING, MN","Wyoming, MN, USA","(45.3375, -92.9980556)",,
"PINEVILLE, NC","Pineville, NC, USA","(35.0832014, -80.89229569999999)",,
"LAKE WALES, FL","Lake Wales, FL, USA","(27.9014133, -81.58590989999999)",,
"SOUTH HOLLAND, IL","South Holland, IL, USA","(41.6008681, -87.60698939999999)",,
"KANKAKEE, IL","Kankakee, IL, USA","(41.1200325, -87.8611531)",,
"CHAMPAIGN, IL","Champaign, IL, USA","(40.1164204, -88.2433829)",,
"BOLINGBROOK, IL","Bolingbrook, IL, USA","(41.69864159999999, -88.0683955)",,
"BENTON HARBOR, MI","Benton Harbor, MI, USA","(42.1167065, -86.45418939999999)",,
"BEAUMONT, TX","Beaumont, TX, USA","(30.080174, -94.1265562)",,
"EAST FLAT ROCK, NC","East Flat Rock, NC, USA","(35.2801166, -82.4220631)",,
"MACUNGIE, PA","Macungie, PA 18062, USA","(40.51593039999999, -75.55518579999999)",,
"MOUNT OLIVE, IL","Mt Olive, IL 62069, USA","(39.07226900000001, -89.7273148)",,
"HANAHAN, SC","Hanahan, SC, USA","(32.9305786, -80.0031833)",,
"SEVERN, MD","Severn, MD, USA","(39.1370528, -76.6983022)",,
"CONKLIN, NY","Conklin, NY 13748, USA","(42.0342437, -75.80380099999999)",,
"PORT CHARLOTTE, FL","Port Charlotte, FL, USA","(26.9761707, -82.09064479999999)",,
"PLAINVIEW, MN","Plainview, MN 55964, USA","(44.1649655, -92.1715571)",,
"IMMOKALEE, FL","Immokalee, FL 34142, USA","(26.4185248, -81.4174057)",,
"KINGSPORT, TN","Kingsport, TN, USA","(36.548434, -82.5618186)",,
"THE ROCK, GA","The Rock, GA 30285, USA","(32.9638895, -84.241153)",,
"ADDISON, IL","Addison, IL, USA","(41.931696, -87.9889556)",,
"BANGOR, WI","Bangor, WI, USA","(43.8930218, -90.9904109)",,
"ALLISON, IA","Allison, IA 50602, USA","(42.7535847, -92.7952244)",,
"PRESCOTT, WI","Prescott, WI 54021, USA","(44.7488565, -92.8021471)",,
"PORT ALLEGANY, PA","Port Allegany, PA 16743, USA","(41.81089799999999, -78.27973519999999)",,
"RIDGEVILLE, SC","Ridgeville, SC 29472, USA","(33.095723, -80.3153738)",,
"STERLING, VA","Sterling, VA, USA","(39.0066993, -77.4291298)",,
"FORT LAWN, SC","Fort Lawn, SC 29714, USA","(34.70208890000001, -80.89479779999999)",,
"SWEETWATER, TN","Sweetwater, TN 37874, USA","(35.6014636, -84.46103939999999)",,
"LAPORTE, IN","La Porte, IN 46350, USA","(41.611143, -86.7227195)",,
"NORFOLK, NE","Norfolk, NE 68701, USA","(42.03272339999999, -97.41375529999999)",,
"MOSES LAKE, WA","Moses Lake, WA 98837, USA","(47.1301417, -119.2780771)",,
"SURREY, BC","Surrey, BC, Canada","(49.1913466, -122.8490125)",,
"CALHOUN, GA","Calhoun, GA, USA","(34.502587, -84.9510542)",,
"FOREST CITY, NC","Forest City, NC 28043, USA","(35.3340108, -81.8651028)",,
"LIMA, OH","Lima, OH, USA","(40.742551, -84.1052256)",,
"PETERSBURG, VA","Petersburg, VA, USA","(37.2279279, -77.40192669999999)",,
"NEWARK, OH","Newark, OH, USA","(40.0581205, -82.4012642)",,
"EUGENE, OR","Eugene, OR, USA","(44.0520691, -123.0867536)",,
"MENOMONIE, WI","Menomonie, WI 54751, USA","(44.8755183, -91.9193422)",,
"LOMIRA, WI","Lomira, WI, USA","(43.591382, -88.443713)",,
"ST MARYS, PA","St Marys, PA, USA","(41.42737380000001, -78.5609398)",,
"DELANO, MN","Delano, MN 55328, USA","(45.0419073, -93.7891331)",,
"MILBANK, SD","Milbank, SD 57252, USA","(45.2150121, -96.6338493)",,
"LINCOLN, AL","Lincoln, AL, USA","(33.6131588, -86.1183061)",,
"CORFU, NY","Corfu, NY 14036, USA","(42.9600595, -78.4055767)",,
"WALLINGFORD, CT","Wallingford, CT 06492, USA","(41.4570108, -72.8230736)",,
"SPRINGFIELD, VA","Springfield, VA, USA","(38.7892801, -77.18720359999999)",,
"FREDERICKSBURG, VA","Fredericksburg, VA 22401, USA","(38.3031837, -77.4605399)",,
"PITTSBURGH, KS","Pittsburg, KS 66762, USA","(37.410884, -94.70496)",,
"HOUSATONIC, MA","Housatonic, Great Barrington, MA 01236, USA","(42.2542548, -73.3662214)",,
"LINFIELD, PA","Linfield, PA 19468, USA","(40.2101003, -75.56990739999999)",,
"WYOMING, MI","Wyoming, MI, USA","(42.9133602, -85.7053085)",,
"MARYLAND HEIGHTS, MO","Maryland Heights, MO, USA","(38.7131073, -90.42984009999999)",,
"PRINCETON, KY","Princeton, KY 42445, USA","(37.1092162, -87.8819594)",,
"JOHNSONVILLE, SC","Johnsonville, SC 29555, USA","(33.8179432, -79.4492228)",,
"WOODBURY, MN","Woodbury, MN, USA","(44.9238552, -92.9593797)",,
"NORTH YORK, ON","North York, Toronto, ON, Canada","(43.7615377, -79.41107939999999)",,
"NARVON, PA","Narvon, PA 17555, USA","(40.1028764, -75.9777225)",,
"FORT EDWARD, NY","Fort Edward, NY, USA","(43.2310452, -73.5476338)",,
"PARIS, TN","Paris, TN 38242, USA","(36.3020023, -88.32671069999999)",,
"LOGAN TOWNSHIP, NJ","Logan Township, NJ, USA","(39.7847179, -75.34918499999999)",,
"SAINT ALBANS, VT","St Albans City, VT, USA","(44.8107132, -73.0835582)",,
"ALEXANDER CITY, AL","Alexander City, AL, USA","(32.944012, -85.9538532)",,
"YORK, AL","York, AL 36925, USA","(32.4862491, -88.29641830000001)",,
"UNION GAP, WA","Union Gap, WA 98903, USA","(46.5573492, -120.4750638)",,
"HILLSBORO, OR","Hillsboro, OR, USA","(45.514913, -122.9392109)",,
"RED WING, MN","Red Wing, MN, USA","(44.5660691, -92.5369563)",,
"MOODY, AL","Moody, AL, USA","(33.5909365, -86.49081679999999)",,
"SUMMERDALE, AL","Summerdale, AL, USA","(30.4876954, -87.69970939999999)",,
"BATAVIA, NY","Batavia, NY 14020, USA","(42.9981156, -78.1875167)",,
"DOVER, FL","Dover, FL 33527, USA","(27.9941885, -82.2195344)",,
"NASHUA, NH","Nashua, NH, USA","(42.7653662, -71.46756599999999)",,
"AVON, NY","Avon, NY 14414, USA","(42.91200720000001, -77.7455583)",,
"ROGERS, MN","Rogers, MN 55374, USA","(45.1878015, -93.5525206)",,
"HIGHLAND, IL","Highland, IL 62249, USA","(38.7394918, -89.6712008)",,
"HOPKINSVILLE, KY","Hopkinsville, KY, USA","(36.8656008, -87.4886186)",,
"CONSTANTINE, MI","Constantine, MI 49042, USA","(41.8411603, -85.6686026)",,
"GAINESVILLE, FL","Gainesville, FL, USA","(29.6516344, -82.32482619999999)",,
"SOLVAY, NY","Solvay, NY, USA","(43.0581222, -76.2074263)",,
"DOVER, DE","Dover, DE, USA","(39.158168, -75.5243682)",,
"FREDERICK, MD","Frederick, MD, USA","(39.41426879999999, -77.4105409)",,
"BELLEFONTE, PA","Bellefonte, PA 16823, USA","(40.91339430000001, -77.7783348)",,
"MINE HILL, NJ","Mine Hill Township, NJ, USA","(40.8778768, -74.5937701)",,
"CHEEKTOWAGA, NY","Cheektowaga, NY, USA","(42.9071477, -78.7542892)",,
"SARATOGA SPRINGS, NY","Saratoga Springs, NY, USA","(43.0831301, -73.7845651)",,
"MISSISSAUGA, ON","Mississauga, ON, Canada","(43.5890452, -79.6441198)",,
"FROSTPROOF, FL","Frostproof, FL 33843, USA","(27.7458626, -81.5306313)",,
"ADAMS CENTER, NY","Adams Center, NY 13606, USA","(43.8600635, -76.0054785)",,
"UMATILLA, FL","Umatilla, FL 32784, USA","(28.9294316, -81.66563049999999)",,
"MILAN, TN","Milan, TN 38358, USA","(35.9197885, -88.7589488)",,
"CARROLLTON, KY","Carrollton, KY 41008, USA","(38.68089579999999, -85.1793979)",,
"BURLINGTON, NC","Burlington, NC, USA","(36.0956918, -79.43779909999999)",,
"WHITSETT, NC","Whitsett, NC, USA","(36.0712466, -79.5644686)",,
"CALHOUN, TN","Calhoun, TN 37309, USA","(35.296462, -84.7479962)",,
"CHESTER, VA","Chester, VA, USA","(37.3568157, -77.4416505)",,
"VAUGHAN, ON","Vaughan, ON, Canada","(43.8563158, -79.5085383)",,
"CAPE CORAL, FL","Cape Coral, FL, USA","(26.5628537, -81.9495331)",,
"ESTHERVILLE, IA","Estherville, IA 51334, USA","(43.4013478, -94.8391532)",,
"EFFORT, PA","Effort, PA 18353, USA","(40.9392584, -75.434907)",,
"WATERFORD, NY","Waterford, NY 12188, USA","(42.7925777, -73.6812293)",,
"TONAWANDA, NY","Tonawanda, NY 14150, USA","(43.0203347, -78.880315)",,
"DOTHAN, AL","Dothan, AL, USA","(31.2232313, -85.3904888)",,
"RAYMOND, NH","Raymond, NH, USA","(43.0362094, -71.1833857)",,
"MARIANNA, FL","Marianna, FL, USA","(30.7743596, -85.2268735)",,
"WATERLOO, IN","Waterloo, IN 46793, USA","(41.4319946, -85.0199666)",,
"FARMERS BRANCH, TX","Farmers Branch, TX, USA","(32.9265137, -96.89611509999999)",,
"AUBURN, KY","Auburn, KY 42206, USA","(36.8642088, -86.7102735)",,
"HAZELWOOD, MO","Hazelwood, MO, USA","(38.7714396, -90.3709489)",,
"DEKALB, IL","DeKalb, IL, USA","(41.9294736, -88.75036469999999)",,
"PRINCETON, MN","Princeton, MN 55371, USA","(45.569965, -93.58162779999999)",,
"HELLAM, PA","Hellam Township, PA, USA","(40.0244987, -76.583499)",,
"SANGER, CA","Sanger, CA 93657, USA","(36.708006, -119.5559652)",,
"CAMBRIDGE, MD","Cambridge, MD 21613, USA","(38.5631744, -76.0788292)",,
"GETTYSBURG, PA","Gettysburg, PA 17325, USA","(39.8309293, -77.2310955)",,
"NEW HAMPTON, NH","New Hampton, NH, USA","(43.6236211, -71.6304407)",,
"CLOQUET, MN","Cloquet, MN 55720, USA","(46.7217735, -92.46118249999999)",,
"BOISBRIAND, QC","Boisbriand, QC, Canada","(45.6126338, -73.8383733)",,
"INDIAN TRAIL, NC","Indian Trail, NC, USA","(35.0768141, -80.6692352)",,
"EAST SYRACUSE, NY","East Syracuse, NY 13057, USA","(43.0653446, -76.0785332)",,
"CAMP HILL, PA","Camp Hill, PA 17011, USA","(40.23981180000001, -76.9199742)",,
"GREENVILLE, KY","Greenville, KY, USA","(37.2011539, -87.1788854)",,
"ROBINSVILLE, NJ","Robbinsville Twp, NJ, USA","(40.2162036, -74.6195327)",,
"WILKESBORO, NC","Wilkesboro, NC, USA","(36.1459649, -81.1606401)",,
"MANNING, SC","Manning, SC 29102, USA","(33.6951627, -80.2109134)",,
"JACKSONVILLE, IL","Jacksonville, IL 62650, USA","(39.733936, -90.2290098)",,
"FRANKLIN, OH","Franklin, OH 45005, USA","(39.5589474, -84.30410739999999)",,
"WRIGHTSTOWN, WI","Wrightstown, WI, USA","(44.3258229, -88.162881)",,
"RUFFS DALE, PA","Ruffs Dale, PA 15639, USA","(40.1750715, -79.6080956)",,
"AURORA, CO","Aurora, CO, USA","(39.7294319, -104.8319195)",,
"THIEF RIVER FALLS, MN","Thief River Falls, MN 56701, USA","(48.1191353, -96.18114729999999)",,
"ONALASKA, WI","Onalaska, WI 54650, USA","(43.8844092, -91.23513930000001)",,
"WASHINGTON COURT HOUSE, OH","Washington Court House, OH 43160, USA","(39.5373688, -83.437579)",,
"SEATTLE, WA","Seattle, WA, USA","(47.6062095, -122.3320708)",,
"BEAVERTON, OR","Beaverton, OR, USA","(45.4888761, -122.8013771)",,
"CANAL WINCHESTER, OH","Canal Winchester, OH, USA","(39.8466556, -82.8123646)",,
"ROCKVILLE, VA","Rockville, VA 23146, USA","(37.7259444, -77.67881729999999)",,
"BAINBRIDGE, GA","Bainbridge, GA, USA","(30.9037995, -84.57546990000002)",,
"DUNKIRK, NY","Dunkirk, NY 14048, USA","(42.4795019, -79.3339324)",,
"BURLINGTON, NJ","Burlington, NJ 08016, USA","(40.071222, -74.86488729999999)",,
"WISNER, NE","Wisner, NE 68791, USA","(41.9872249, -96.9142055)",,
"JONESBORO, AR","Jonesboro, AR, USA","(35.84229670000001, -90.704279)",,
"HAMMOND, WI","Hammond, WI 54015, USA","(44.978855, -92.4357486)",,
"BARRIE, ON","Barrie, ON, Canada","(44.38935559999999, -79.6903316)",,
"SPRINGFIELD, VT","Springfield, VT, USA","(43.2984078, -72.4823117)",,
"HURON, SD","Huron, SD 57350, USA","(44.3633173, -98.21425719999999)",,
"FRIENDSHIP, NY","Friendship, NY, USA","(42.2277459, -78.13363799999999)",,
"HICKSVILLE, NY","Hicksville, NY, USA","(40.7580684, -73.5240738)",,
"MOUNT VERNON, TX","Mt Vernon, TX 75457, USA","(33.1887271, -95.2213321)",,
"BLUE ISLAND, IL","Blue Island, IL, USA","(41.6572562, -87.68004859999999)",,
"BROCKPORT, NY","Brockport, NY 14420, USA","(43.2136713, -77.9391797)",,
"RANDLEMAN, NC","Randleman, NC 27317, USA","(35.8179143, -79.8030873)",,
"HOPKINTON, IA","Hopkinton, IA 52237, USA","(42.3438857, -91.24847989999999)",,
"LINDEN, TN","Linden, TN 37096, USA","(35.6172917, -87.8394704)",,
"LACEYS SPRING, AL","Laceys Spring, AL 35754, USA","(34.5337436, -86.590015)",,
"MADISON, FL","Madison, FL 32340, USA","(30.4693772, -83.41292539999999)",,
"WIMAUMA, FL","Wimauma, FL 33598, USA","(27.7125308, -82.2989803)",,
"MACEO, KY","Maceo, KY 42355, USA","(37.8639492, -86.9947062)",,
"ISSAQUAH, WA","Issaquah, WA, USA","(47.5301011, -122.0326191)",,
"NAMPA, ID","Nampa, ID, USA","(43.5788175, -116.55978)",,
"HANOVER, PA","Hanover, PA 17331, USA","(39.8006553, -76.9830358)",,
"MOUNT VERNON, OH","Mt Vernon, OH 43050, USA","(40.3933956, -82.4857181)",,
"FAIRFAX, VT","Fairfax, VT, USA","(44.6654963, -73.01032)",,
"JAMESTOWN, NC","Jamestown, NC, USA","(35.9943032, -79.9353141)",,
"MEHOOPANY, PA","Mehoopany, PA 18629, USA","(41.5634095, -76.0604814)",,
"ELLINGTON, CT","Ellington, CT, USA","(41.91728260000001, -72.458236)",,
"GREENEVILLE, TN","Greeneville, TN, USA","(36.1631574, -82.83098609999999)",,
"ROSELLE, IL","Roselle, IL, USA","(41.9847504, -88.07979329999999)",,
"KANSAS CITY, KS","Kansas City, KS, USA","(39.11553139999999, -94.62678729999999)",,
"WAUKEGAN, IL","Waukegan, IL, USA","(42.3636331, -87.84479379999999)",,
"HALTOM CITY, TX","Haltom City, TX, USA","(32.7995738, -97.26918169999999)",,
"NEW PORT RICHEY, FL","New Port Richey, FL, USA","(28.2441768, -82.7192671)",,
"WEARE, NH","Weare, NH 03281, USA","(43.0948033, -71.7306313)",,
"GRAND FORKS, ND","Grand Forks, ND, USA","(47.9252568, -97.0328547)",,
"MILAN, MI","Milan, MI 48160, USA","(42.0853204, -83.6824384)",,
"BRADFORD, MA","Bradford, Haverhill, MA 01835, USA","(42.768643, -71.0780044)",,
"VONORE, TN","Vonore, TN, USA","(35.590078, -84.2418612)",,
"LOGANSPORT, IN","Logansport, IN 46947, USA","(40.7544843, -86.3566659)",,
"SIMPSONVILLE, SC","Simpsonville, SC, USA","(34.7370639, -82.25428339999999)",,
"LAKE PLACID, NY","Lake Placid, NY 12946, USA","(44.2794911, -73.9798713)",,
"BROCKPORT, PA","Brockport, PA 15823, USA","(41.2587029, -78.7280906)",,
"COHOES, NY","Cohoes, NY, USA","(42.7742446, -73.70011869999999)",,
"SOUTH BEND, IN","South Bend, IN, USA","(41.6763545, -86.25198979999999)",,
"OAKBORO, NC","Oakboro, NC, USA","(35.2257007, -80.3289521)",,
"MONROE TOWNSHIP, NJ","Monroe Township, NJ 08831, USA","(40.336419, -74.43304739999999)",,
"PALMERTON, PA","Palmerton, PA, USA","(40.8014826, -75.6101867)",,
"LINCOLN, NE","Lincoln, NE, USA","(40.813616, -96.7025955)",,
"CANTON, OH","Canton, OH, USA","(40.79894729999999, -81.378447)",,
"DEPERE, WI","De Pere, WI, USA","(44.4488805, -88.0603806)",,
"GOLDEN, CO","Golden, CO, USA","(39.755543, -105.2210997)",,
"BROOK PARK, OH","Brook Park, OH, USA","(41.3983838, -81.8045788)",,
"LA TUQUE, QC","La Tuque, QC, Canada","(47.4383405, -72.7839311)",,
"MANSFIELD, OH","Mansfield, OH, USA","(40.75839, -82.5154471)",,
"SCOTTSBORO, AL","Scottsboro, AL, USA","(34.6723069, -86.03414629999999)",,
"CHARLESTON, SC","Charleston, SC, USA","(32.7764749, -79.93105120000001)",,
"HALLOCK, MN","Hallock, MN 56728, USA","(48.77442629999999, -96.94644699999999)",,
"BLODGETT MILLS, NY","Blodgett Mills, NY 13045, USA","(42.5684039, -76.1257608)",,
"PASSAIC, NJ","Passaic, NJ, USA","(40.8567662, -74.1284764)",,
"SIMPSONVILLE, KY","Simpsonville, KY 40067, USA","(38.22257, -85.3552349)",,
"JACKSONVILLE, TX","Jacksonville, TX 75766, USA","(31.963778, -95.27050419999999)",,
"BARTLETT, IL","Bartlett, IL, USA","(41.9950276, -88.1856301)",,
"NORTH ANDOVER, MA","North Andover, MA 01845, USA","(42.69870239999999, -71.1350575)",,
"CHILLICOTHE, OH","Chillicothe, OH 45601, USA","(39.3331197, -82.9824019)",,
"MANSFIELD, MA","Mansfield, MA, USA","(42.03345650000001, -71.2190578)",,
"MARTINSBURG, WV","Martinsburg, WV, USA","(39.4562099, -77.96388689999999)",,
"ELLENWOOD, GA","Ellenwood, GA, USA","(33.609725, -84.2873662)",,
"KENOSHA, WI","Kenosha, WI, USA","(42.5847425, -87.82118539999999)",,
"SHELBY, OH","Shelby, OH 44875, USA","(40.88144519999999, -82.6618424)",,
"WHEAT RIDGE, CO","Wheat Ridge, CO, USA","(39.766098, -105.0772063)",,
"PASCAGOULA, MS","Pascagoula, MS, USA","(30.3657552, -88.5561272)",,
"WEST PALM BEACH, FL","West Palm Beach, FL, USA","(26.7153424, -80.0533746)",,
